dataset	yaw_per_m	config	keyframes	loops	recall	ate_drift	ate_pgo	spread_drift	spread_pgo
hk_village5	2.0	stock	312	8	1/6	2.077	2.0466	15862	17188
hk_village5	2.0	gated	312	7	1/6	2.077	1.9933	15862	16127
hk_village5	2.0	plane	312	8	1/6	2.077	2.0457	15862	19778
hk_village5	2.0	rust	312	8	0/6	2.077	2.0667	15862	15979
hk_village6	0.0	stock	268	11	2/6	0.0	0.515	7486	6247
hk_village6	0.0	gated	268	11	2/6	0.0	0.4657	7486	5563
hk_village6	0.0	plane	268	11	1/6	0.0	0.3173	7486	4605
hk_village6	0.0	rust	268	17	1/6	0.0	0.1025	7486	7675
hk_village6	0.5	stock	270	10	1/6	0.5365	0.6306	10382	10190
hk_village6	0.5	gated	270	9	1/6	0.5365	0.4963	10382	8585
hk_village6	0.5	plane	270	10	1/6	0.5365	0.498	10382	7486
hk_village6	0.5	rust	270	18	2/6	0.5365	0.546	10382	10704
hk_village6	1.0	stock	275	9	1/6	1.0939	1.0749	13887	14066
hk_village6	1.0	gated	275	9	0/6	1.0939	1.0213	13887	12042
hk_village6	1.0	plane	275	9	0/6	1.0939	0.9591	13887	11070
hk_village6	1.0	rust	275	16	0/6	1.0938	1.1279	13887	14614
hk_village6	2.0	stock	298	10	1/6	2.2091	2.337	21415	22758
hk_village6	2.0	gated	298	9	0/6	2.2091	2.1929	21415	19753
hk_village6	2.0	plane	298	10	1/6	2.2091	2.3731	21415	20287
hk_village6	2.0	rust	298	17	1/6	2.208	2.1877	21415	20781
